name,title_weight,image_weight,cat_weight,pca_var_sum,rq0_mse,rq1_mse,rq2_mse,opq_mse,unique_sid_ratio,collision_rate,extra_collisions,max_collision_group_size,prefix3_unique_ratio,prefix4_unique_ratio,prefix5_unique_ratio,avg_entropy_ratio,min_entropy_ratio,rq0_entropy_ratio,rq1_entropy_ratio,rq2_entropy_ratio,opq0_entropy_ratio,opq1_entropy_ratio
t1_i0p1_c0p2,1.0,0.1,0.2,0.5953439326906147,0.07069674780273437,0.0443823603515625,0.03180199517822266,0.019007234069824217,0.963284,0.036716,36716,61,0.78483,0.936617,0.963284,0.9903242484468144,0.9750970845071095,0.9750970845071095,0.9902929875731554,0.9945111399041467,0.996042150516595,0.9956778797330651
t1_i0p2_c0p2,1.0,0.2,0.2,0.5766944209423515,0.07056273217773437,0.044291345703125,0.03180045336914063,0.01900777081298828,0.964849,0.035151,35151,56,0.78894,0.938187,0.964849,0.9906852018153842,0.9756779440023249,0.9756779440023249,0.9909864731841181,0.9947744254180719,0.9963802744702903,0.9956068920021155
t1_i0p5_c0p2,1.0,0.5,0.2,0.47673859628490856,0.0720935,0.045368430114746096,0.03257641009521484,0.01946652862548828,0.976042,0.023958,23958,56,0.794727,0.948129,0.976042,0.990927375182696,0.9741817223040203,0.9741817223040203,0.9922564835342046,0.9951857836317315,0.9965916273007568,0.9964212591427672
t1_i1p0_c0p2,1.0,1.0,0.2,0.33599346884606335,0.1292178271484375,0.08476571179199219,0.06125520385742188,0.03603099230957031,0.991982,0.008018,8018,49,0.924171,0.983246,0.991982,0.9954254171018031,0.9825419115098902,0.9825419115098902,0.9978134267207717,0.9985970470192296,0.9987425107471635,0.99943218951196
t1_i0p5_c0p5,1.0,0.5,0.5,0.5413313152009036,0.09233499755859376,0.036893064819335936,0.02151329821777344,0.011708409255981446,0.925442,0.074558,74558,119,0.513224,0.840437,0.925442,0.955615743322654,0.9479498309799076,0.9609698318439488,0.9479498309799076,0.9611403259304672,0.95538784543475,0.9526308824241965
